ID Industry Group,Industry Group,Record Count,Total Population,Average Wage,Average Age,Average Income,Average Usual Hours Worked Per Week
111,Farming,70757,6089048,19769.82687,44.0484501,34893.15945,37.75202955
112,Animal production & aquaculture,35167,2703466,19763.84929,44.09781702,37693.53111,41.39779675
1133,Logging,5737,456439,25138.84901,45.7786013,36991.81632,39.16476024
113M,Forestry except logging,2878,241160,38187.20876,45.25476862,47004.43218,35.5922002
114,"Fishing, hunting & trapping",3691,307898,22298.15058,44.01579419,41672.14192,40.96464089
115,Support activities for agriculture & forestry,8426,806770,23053.54426,42.41890006,32056.51693,37.46686416
211,Oil & gas extraction,5994,582205,97725.02109,44.38525433,107897.7669,42.24980205
2121,Coal mining,4674,407662,55752.27886,45.33284927,62557.85909,38.70539074
2122,Metal ore mining,2505,229035,68954.73422,44.80978453,74838.30241,41.34831358
2123,Nonmetallic mineral mining & quarrying,5327,450030,47641.14094,46.56102482,53275.86004,41.16569118
213,Support activities for mining,23008,2372424,70896.34665,42.01925836,78756.04293,47.33840831
23,Construction,451349,48233848,35028.54667,43.0969814,43786.21052,37.14011289
3113,Sugar & confectionery products,4099,419865,39044.07994,44.43039548,43724.77683,35.50560537
3114,Fruit & vegetable preserving & specialty food manufacturing,9179,943677,34682.6109,44.06467573,38640.18469,37.48822531
3115,Dairy product manufacturing,7505,692873,45220.28976,42.92199725,49061.39855,39.94543877
3116,Animal slaughtering & processing,20528,2302112,29315.41079,41.59456447,31651.71816,37.25210242
311811,Retail bakeries,8528,924926,18349.11358,38.3743986,22412.02743,30.10361045
3118Z,"Bakeries & tortilla manufacturing, except retail bakeries",10024,1119919,31245.25307,42.2218089,34834.59243,35.98863846
311M1,"Animal food, grain & oilseed milling",8002,737890,49893.53093,43.63300763,54752.52188,39.93206033
311M2,"Seafood & other miscellaneous foods, n.e.c. ",10137,1045175,40726.11249,42.79350539,44451.95879,39.11946612
311S,"Not specified food industries, manufacturing",1220,143265,32131.23518,41.74186298,35104.46258,36.20275015
3121,Beverage manufacturing,11040,1160092,49016.71914,41.50776145,54775.84925,38.52471701
3122,Tobacco manufacturing,1079,104845,51704.64072,48.56868711,63211.59472,32.74449902
3131,"Fiber, yarn, & thread mills",740,76425,33328.07474,46.1836441,39043.74998,35.8365718
3132Z,"Fabric mills, except knitting mills",5231,501227,35664.61982,47.61067341,40958.8069,35.52571589
3133,Textile & fabric finishing & coating mills,777,80161,35236.13687,45.16489315,41186.80116,35.09861404
31411,Carpet & rug mills,2308,248380,33668.87923,44.17021097,36266.62681,37.55304372
314Z,"Textile product mills, except carpets & rugs ",4053,395698,27956.12541,46.06392501,33556.69101,34.54960349
3152,Cut & sew apparel manufacturing,11006,1139460,28685.58791,45.70109526,33152.55583,32.74539519
3159,Apparel accessories & other apparel manufacturing,414,40407,24040.62821,46.24203727,29841.95174,32.24275497
3162,Footwear manufacturing,1322,141865,40721.88472,41.30981567,44138.88246,35.81388644
316M,"Leather tanning & finishing, & other allied products manufacturing ",1079,106192,31094.53066,44.89764766,37722.80006,35.58103247
31M,"Knitting fabric mills, & apparel knitting mills ",991,94896,27473.43517,47.17876412,33308.63598,32.8343555
3211,Sawmills & wood preservation,6999,613844,33367.20558,42.91611061,38414.01268,38.53932269
3212,"Veneer, plywood, & engineered wood products ",2558,223867,36792.16992,44.47226255,40804.98682,38.87831168
32199M,Prefabricated wood buildings & mobile homes,1780,167629,32813.35425,42.8706966,36825.66162,37.70587428
3219ZM,Miscellaneous wood products,11339,1083668,31342.47469,43.38294016,37035.11331,37.23315259
3221,"Pulp, paper, & paperboard mills ",10365,971908,54987.54453,47.56923598,61334.21879,38.63942678
